total_remaining;buffer;skip_phase1
92.0;0;1
112.0;0;1
85.0;0;1
78.0;0;1
103.0;0;1
41.0;0;1
72.0;0;1
105.0;0;1
95.0;0;1
64.0;0;1
116.0;0;1
113.0;0;1
111.0;1;0
93.0;1;0
132.0;1;0
