total_remaining;buffer;skip_phase1
65.0;0;1
113.0;0;1
112.0;0;1
58.0;0;1
61.0;0;1
53.0;0;1
59.0;0;1
51.0;0;1
102.0;0;1
99.0;0;1
107.0;0;1
50.0;0;1
93.0;1;0
123.0;1;0
93.0;1;0
