total_remaining;buffer;skip_phase1
68.0;0;1
114.0;0;1
83.0;0;1
94.0;0;1
88.0;0;1
102.0;0;1
80.0;0;1
44.0;0;1
57.0;0;1
97.0;0;1
52.0;0;1
34.0;0;1
121.0;1;0
106.0;1;0
79.0;1;0
